trade_date,close,pct_chg,vol,ema24,ma120,ma250,rise,fall,rise_limit,fall_limit,rise_limit_count,ema24_up,ma120_up,north_money,pct_chg_v,vol_5,vol_v,ema24_on_v,ma120_on_v,ma250_on_v,rise_fall_v,rise_limit_fall_limit_v,rise_limit_count_5,rise_limit_count_v,ema24_up_5,ema24_up_v,ma120_up_5,ma120_up_v,north_money_5,north_money_v1,north_money_v,v,v_5
20190730,2952.34,0.39,148316462.0,2938.56,2969.62,2806.47,2244,1101,28,2,3,1333,887,2825.0,1.3,143316368.6,3.09,5,-4,3,1.02,2.61,4.6,1.9500000000000002,1139.2,4.68,883.4,3.0,1406.4,2.01,4.0,2.3,2.0
20190729,2941.01,-0.12,127991846.0,2937.36,2966.64,2805.75,1331,2056,22,3,2,1141,866,382.0,-0.4,139515177.8,2.7600000000000002,5,-4,3,-0.63,2.2800000000000002,4.8,1.26,1016.8,4.48,865.0,3.0,830.6,0.46,1.3800000000000001,1.6,1.7
20190726,2944.54,0.24,139343388.0,2937.05,2963.77,2805.13,1595,1744,27,4,4,1146,881,-969.0,0.8,150051800.6,2.79,5,-4,3,-0.12,2.2199999999999998,5.0,2.4000000000000004,892.8,5.12,825.8,3.21,886.6,1.09,-3.2700000000000005,1.6,1.3
20190725,2937.36,0.48,145684385.0,2936.4,2960.91,2804.55,1764,1541,24,1,6,1082,898,2367.0,1.6,152077033.6,2.88,5,-4,3,0.21000000000000002,2.7600000000000002,5.0,3.5999999999999996,854.0,5.08,834.8,3.24,2386.6,0.99,2.9699999999999998,2.4,1.3
20190724,2923.28,0.8,155245762.0,2936.31,2958.03,2804.05,2984,455,32,0,8,994,885,2427.0,2.6500000000000004,152917922.2,3.06,-5,-4,3,2.2199999999999998,3.0,5.0,4.800000000000001,791.6,5.04,833.2,3.18,2352.6,1.03,3.09,1.9,0.9
20190723,2899.94,0.45,129310508.0,2937.45,2955.18,2803.68,2902,500,39,3,4,721,795,-54.0,1.5,151795093.0,2.55,-5,-4,3,2.13,2.58,5.0,2.4000000000000004,846.0,3.4,874.8,2.73,2267.4,0.02,-0.06,1.0,0.8
20190722,2886.97,-1.27,180674960.0,2940.71,2952.51,2803.44,319,3223,8,35,3,521,670,662.0,-4.25,152295341.6,3.57,-5,-4,3,-2.46,-1.8900000000000001,6.0,1.5,953.4,2.2,936.2,2.16,2532.4,0.26,0.78,-0.4,0.9
20190719,2924.2,0.79,149469553.0,2945.38,2950.21,2803.0,2330,1033,19,2,4,952,926,6531.0,2.6500000000000004,149689029.0,3.0,-5,-4,3,1.17,2.43,6.8,1.77,1081.4,3.52,1018.4,2.73,2174.4,3.0,4.0,1.4,1.3
20190718,2901.18,-1.04,149888828.0,2947.22,2947.47,2802.61,398,3137,17,2,6,770,890,2197.0,-3.4499999999999997,147354070.2,3.06,-5,-4,3,-2.31,2.37,6.6,2.73,1071.6,2.88,1027.8,2.61,1211.0,1.81,4.0,0.5,1.3
20190717,2931.69,-0.2,149631616.0,2951.23,2944.63,2802.27,1382,1964,35,1,8,1266,1093,2001.0,-0.65,146114809.0,3.06,-5,-4,3,-0.51,2.82,6.2,3.87,1078.0,4.68,1039.6,3.1500000000000004,1311.4,1.53,4.0,1.3,1.4
20190716,2937.62,-0.16,131811751.0,2952.92,2941.62,2801.53,1845,1478,31,0,9,1258,1102,1271.0,-0.55,143285193.4,2.7600000000000002,-5,-4,3,0.33,3.0,5.2,5.1899999999999995,977.2,5.16,1012.0,3.2700000000000005,643.0,1.98,4.0,1.6,1.1
20190715,2942.19,0.4,167643397.0,2954.26,2938.55,2800.72,2537,892,33,8,7,1161,1081,-1128.0,1.35,145944964.0,3.4499999999999997,-5,4,3,1.44,1.83,4.6,4.5600000000000005,892.2,5.2,994.4,3.2700000000000005,-89.6,12.59,-4.0,1.7,1.0
20190712,2930.55,0.44,137794759.0,2955.3,2935.17,2799.98,2038,1311,28,8,3,903,973,1714.0,1.45,154724538.2,2.67,-5,-4,3,0.66,1.6800000000000002,4.0,2.25,809.4,4.48,978.8,2.9699999999999998,-530.2,3.23,4.0,1.3,0.6
20190711,2917.76,0.08,143692522.0,2957.46,2932.03,2799.41,1619,1686,30,0,4,802,949,2699.0,0.25,158516672.2,2.73,-5,-4,3,-0.06,3.0,4.8,2.4899999999999998,1017.0,3.16,1081.6,2.64,-736.6,3.66,4.0,1.1,0.9
20190710,2915.3,-0.44,135483538.0,2960.91,2928.84,2798.84,907,2552,27,6,3,762,955,-1341.0,-1.45,168661194.4,2.4000000000000004,-5,-4,3,-1.44,1.92,5.2,1.7399999999999998,1223.8,2.48,1186.6,2.4000000000000004,-1029.0,1.3,-3.9000000000000004,-0.2,1.2
20190709,2928.23,-0.18,145110604.0,2964.88,2925.75,2798.57,2026,1340,34,4,6,833,1014,-2392.0,-0.6,184023721.4,2.37,-5,4,3,0.6000000000000001,2.37,5.8,3.09,1462.2,2.28,1298.6,2.34,-801.4,2.98,-4.0,1.0,1.6
20190708,2933.36,-2.58,211541268.0,2968.06,2922.4,2798.0,210,3347,19,14,4,747,1003,-3331.0,-8.6,197905725.4,3.21,-5,4,3,-2.64,0.44999999999999996,6.0,2.0100000000000002,1800.6,1.64,1428.2,2.0999999999999996,-24.8,134.31,-4.0,-0.3,1.9
20190705,3011.06,0.19,156755429.0,2971.08,2919.06,2797.52,1984,1355,36,5,7,1941,1487,682.0,0.65,205765558.4,2.2800000000000002,5,4,3,0.5700000000000001,2.2800000000000002,7.4,2.8499999999999996,2164.6,3.6,1567.4,2.8499999999999996,641.4,1.06,3.18,2.8,2.7
20190704,3005.25,-0.33,194415133.0,2967.6,2914.93,2796.86,1304,2053,27,7,6,1836,1474,1237.0,-1.1,210700777.2,2.7600000000000002,5,4,3,-0.66,1.77,7.4,2.43,2037.8,3.6,1538.6,2.88,505.0,2.45,4.0,2.5,2.5
20190703,3015.26,-0.94,212296173.0,2964.33,2910.42,2796.27,767,2724,24,6,6,1954,1515,-203.0,-3.15,210897160.4,3.0300000000000002,5,4,3,-1.6800000000000002,1.7999999999999998,8.4,2.13,2073.2,3.76,1553.8,2.94,1081.6,0.19,-0.5700000000000001,1.8,2.6
20190702,3043.94,-0.03,214520624.0,2959.9,2905.84,2795.77,1543,1847,26,7,7,2525,1662,1491.0,-0.1,203327832.4,3.18,5,4,3,-0.27,1.7399999999999998,9.2,2.2800000000000002,2041.8,4.96,1549.6,3.21,933.4,1.6,4.0,2.8,2.6
20190701,3044.9,2.22,250840433.0,2952.59,2901.26,2795.1,3447,104,92,0,11,2567,1699,0.0,7.4,209163556.4,3.5999999999999996,5,4,3,2.82,3.0,11.0,3.0,1902.8,5.4,1522.0,3.3600000000000003,24.8,0.0,-0.0,3.7,2.4
20190628,2978.88,-0.6,181431523.0,2944.57,2896.57,2794.58,624,2875,22,7,7,1307,1343,0.0,-2.0,201094248.6,2.7,5,4,3,-1.92,1.56,15.2,1.3800000000000001,1867.6,2.8,1517.4,2.67,-304.8,0.0,-0.0,1.7,2.2
20190627,2996.79,0.69,195397049.0,2941.58,2892.57,2794.3,2138,1171,53,5,11,2013,1550,4120.0,2.3000000000000003,222202711.0,2.64,5,4,3,0.8699999999999999,2.4899999999999998,18.4,1.7999999999999998,2112.4,3.8,1593.6,2.91,1370.2,3.01,4.0,3.0,2.6
20190626,2976.28,-0.19,174449533.0,2936.78,2888.47,2794.4,1598,1758,37,20,10,1797,1494,-944.0,-0.65,241325608.6,2.16,5,4,3,-0.15000000000000002,0.8999999999999999,19.4,1.56,2073.2,3.48,1581.6,2.82,1731.8,0.55,-1.6500000000000001,1.9,2.9
20190625,2982.07,-0.87,243699244.0,2933.35,2884.73,2794.67,782,2714,42,12,16,1830,1524,-3052.0,-2.9,252587096.6,2.88,5,4,3,-1.6500000000000001,1.6800000000000002,20.8,2.31,1935.4,3.8,1539.6,2.9699999999999998,2948.6,1.04,-3.12,1.6,3.3
20190624,3008.15,0.21,210493894.0,2929.11,2880.84,2794.94,1369,2061,69,4,32,2391,1676,-1648.0,0.7000000000000001,233388311.8,2.7,5,4,3,-0.6000000000000001,2.67,19.4,4.949999999999999,1719.4,5.56,1463.8,3.42,3934.4,0.42,-1.26,2.7,3.3
20190621,3001.98,0.5,286973835.0,2922.24,2876.91,2795.23,3093,390,124,0,23,2531,1724,8375.0,1.6500000000000001,222082525.0,3.87,5,4,3,2.34,3.0,14.4,4.800000000000001,1385.2,7.32,1363.8,3.7800000000000002,4423.2,1.89,4.0,3.9,3.0
20190620,2987.12,2.38,291011537.0,2915.3,2873.14,2795.43,3046,466,58,4,16,1817,1490,5928.0,7.95,207774917.2,4.199999999999999,5,4,3,2.19,2.61,11.4,4.199999999999999,1010.6,7.2,1251.8,3.57,2690.4,2.2,4.0,4.4,2.4
20190619,2917.8,0.96,230756973.0,2909.06,2869.72,2795.75,3023,436,73,1,17,1108,1284,5140.0,3.2,192164168.0,3.5999999999999996,5,4,3,2.25,2.91,10.8,4.71,885.6,5.0,1243.2,3.09,1791.0,2.87,4.0,3.7,1.9
20190618,2890.16,0.09,147705320.0,2908.3,2867.06,2796.52,1468,1882,38,3,9,750,1145,1877.0,0.3,194063928.4,2.2800000000000002,-5,4,3,-0.36,2.55,11.4,2.37,866.4,3.48,1259.0,2.73,1214.6,1.55,4.0,1.8,1.5
20190617,2887.61,0.2,153964960.0,2909.87,2864.59,2797.42,1790,1590,40,10,7,720,1176,796.0,0.65,216628023.6,2.13,-5,4,3,0.18,1.7999999999999998,14.4,1.47,933.2,3.08,1318.8,2.67,2313.2,0.34,1.02,1.4,2.1
